id,skill_id,type,question_vi,question_en,options,correct_answer,difficulty,hint_vi
SK06_0024,SK06,multiple_choice,2 - 2 = ?,2 - 2 = ?,"3,0,1,2",0,1,2 trừ 2 bằng 0
SK06_0025,SK06,multiple_choice,4 - 3 = ?,4 - 3 = ?,"2,3,0,1",1,1,4 trừ 3 bằng 1
SK06_0026,SK06,multiple_choice,19 - 3 = ?,19 - 3 = ?,"16,15,17,14",16,2,19 trừ 3 bằng 16
SK06_0027,SK06,multiple_choice,17 - 15 = ?,17 - 15 = ?,"2,1,0,3",2,2,17 trừ 15 bằng 2
SK06_0028,SK06,multiple_choice,16 - 13 = ?,16 - 13 = ?,"3,1,2,0",3,2,16 trừ 13 bằng 3
SK06_0029,SK06,multiple_choice,17 - 3 = ?,17 - 3 = ?,"11,15,16,14",14,2,17 trừ 3 bằng 14
SK06_0030,SK06,multiple_choice,11 - 2 = ?,11 - 2 = ?,"8,12,9,11",9,2,11 trừ 2 bằng 9
SK06_0031,SK06,multiple_choice,18 - 6 = ?,18 - 6 = ?,"14,12,13,10",12,2,18 trừ 6 bằng 12
SK06_0032,SK06,multiple_choice,14 - 11 = ?,14 - 11 = ?,"2,0,6,3",3,2,14 trừ 11 bằng 3
SK06_0033,SK06,multiple_choice,15 - 6 = ?,15 - 6 = ?,"9,7,10,11",9,2,15 trừ 6 bằng 9
SK06_0034,SK06,multiple_choice,17 - 14 = ?,17 - 14 = ?,"5,0,6,3",3,2,17 trừ 14 bằng 3
SK06_0035,SK06,multiple_choice,19 - 17 = ?,19 - 17 = ?,"3,1,2,5",2,2,19 trừ 17 bằng 2
SK06_0036,SK06,multiple_choice,19 - 9 = ?,19 - 9 = ?,"11,13,10,7",10,2,19 trừ 9 bằng 10
SK06_0037,SK06,multiple_choice,17 - 11 = ?,17 - 11 = ?,"4,7,3,6",6,2,17 trừ 11 bằng 6
SK06_0038,SK06,multiple_choice,13 - 9 = ?,13 - 9 = ?,"1,4,7,3",4,2,13 trừ 9 bằng 4
SK06_0039,SK06,multiple_choice,15 - 12 = ?,15 - 12 = ?,"0,3,2,4",3,2,15 trừ 12 bằng 3
SK06_0040,SK06,multiple_choice,11 - 7 = ?,11 - 7 = ?,"6,4,2,1",4,2,11 trừ 7 bằng 4
SK06_0041,SK06,multiple_choice,18 - 1 = ?,18 - 1 = ?,"17,20,16,15",17,2,18 trừ 1 bằng 17
SK06_0042,SK06,multiple_choice,17 - 13 = ?,17 - 13 = ?,"4,5,1,6",4,2,17 trừ 13 bằng 4
SK06_0043,SK06,multiple_choice,18 - 16 = ?,18 - 16 = ?,"2,3,4,1",2,2,18 trừ 16 bằng 2
SK06_0044,SK06,multiple_choice,19 - 14 = ?,19 - 14 = ?,"5,8,2,3",5,2,19 trừ 14 bằng 5
SK06_0045,SK06,multiple_choice,20 - 13 = ?,20 - 13 = ?,"9,5,8,7",7,2,20 trừ 13 bằng 7
SK06_0046,SK06,multiple_choice,32 - 6 = ?,32 - 6 = ?,"27,28,26,24",26,3,32 trừ 6 bằng 26
SK06_0047,SK06,multiple_choice,44 - 29 = ?,44 - 29 = ?,"15,17,13,14",15,3,44 trừ 29 bằng 15
SK06_0048,SK06,multiple_choice,48 - 8 = ?,48 - 8 = ?,"41,38,39,40",40,3,48 trừ 8 bằng 40
SK06_0049,SK06,multiple_choice,48 - 9 = ?,48 - 9 = ?,"39,41,37,42",39,3,48 trừ 9 bằng 39
SK06_0050,SK06,multiple_choice,24 - 18 = ?,24 - 18 = ?,"6,7,4,8",6,3,24 trừ 18 bằng 6
SK06_0051,SK06,multiple_choice,35 - 31 = ?,35 - 31 = ?,"4,5,6,7",4,3,35 trừ 31 bằng 4
SK06_0052,SK06,multiple_choice,31 - 28 = ?,31 - 28 = ?,"3,0,5,2",3,3,31 trừ 28 bằng 3
SK06_0053,SK06,multiple_choice,22 - 10 = ?,22 - 10 = ?,"12,14,11,13",12,3,22 trừ 10 bằng 12
SK06_0054,SK06,multiple_choice,26 - 13 = ?,26 - 13 = ?,"10,12,15,13",13,3,26 trừ 13 bằng 13
SK06_0055,SK06,multiple_choice,44 - 26 = ?,44 - 26 = ?,"18,16,17,20",18,3,44 trừ 26 bằng 18
SK06_0056,SK06,multiple_choice,47 - 46 = ?,47 - 46 = ?,"4,1,0,3",1,3,47 trừ 46 bằng 1
SK06_0057,SK06,multiple_choice,39 - 26 = ?,39 - 26 = ?,"11,12,13,15",13,3,39 trừ 26 bằng 13
SK06_0058,SK06,multiple_choice,38 - 29 = ?,38 - 29 = ?,"10,6,8,9",9,3,38 trừ 29 bằng 9
SK06_0059,SK06,multiple_choice,36 - 21 = ?,36 - 21 = ?,"12,15,18,17",15,3,36 trừ 21 bằng 15
SK06_0060,SK06,multiple_choice,44 - 7 = ?,44 - 7 = ?,"39,36,40,37",37,3,44 trừ 7 bằng 37
SK06_0061,SK06,multiple_choice,28 - 12 = ?,28 - 12 = ?,"13,16,14,15",16,3,28 trừ 12 bằng 16
SK06_0062,SK06,multiple_choice,46 - 10 = ?,46 - 10 = ?,"35,34,36,37",36,3,46 trừ 10 bằng 36
SK06_0063,SK06,multiple_choice,40 - 22 = ?,40 - 22 = ?,"20,18,19,15",18,3,40 trừ 22 bằng 18
SK06_0064,SK06,multiple_choice,41 - 4 = ?,41 - 4 = ?,"34,40,35,37",37,3,41 trừ 4 bằng 37
SK06_0065,SK06,multiple_choice,50 - 1 = ?,50 - 1 = ?,"50,49,46,52",49,3,50 trừ 1 bằng 49
SK06_0066,SK06,multiple_choice,72 - 5 = ?,72 - 5 = ?,"64,68,69,67",67,4,72 trừ 5 bằng 67
SK06_0067,SK06,multiple_choice,87 - 9 = ?,87 - 9 = ?,"81,76,78,77",78,4,87 trừ 9 bằng 78
SK06_0068,SK06,multiple_choice,54 - 43 = ?,54 - 43 = ?,"10,11,14,9",11,4,54 trừ 43 bằng 11
SK06_0069,SK06,multiple_choice,77 - 45 = ?,77 - 45 = ?,"32,33,29,31",32,4,77 trừ 45 bằng 32
SK06_0070,SK06,multiple_choice,70 - 45 = ?,70 - 45 = ?,"25,28,26,23",25,4,70 trừ 45 bằng 25
SK06_0071,SK06,multiple_choice,79 - 18 = ?,79 - 18 = ?,"61,63,64,59",61,4,79 trừ 18 bằng 61
SK06_0072,SK06,multiple_choice,85 - 25 = ?,85 - 25 = ?,"63,62,61,60",60,4,85 trừ 25 bằng 60
SK06_0073,SK06,multiple_choice,58 - 40 = ?,58 - 40 = ?,"15,18,20,16",18,4,58 trừ 40 bằng 18
SK06_0074,SK06,multiple_choice,100 - 44 = ?,100 - 44 = ?,"54,57,55,56",56,4,100 trừ 44 bằng 56
SK06_0075,SK06,multiple_choice,65 - 50 = ?,65 - 50 = ?,"18,14,17,15",15,4,65 trừ 50 bằng 15
SK06_0076,SK06,multiple_choice,84 - 26 = ?,84 - 26 = ?,"58,61,55,57",58,4,84 trừ 26 bằng 58
SK06_0077,SK06,multiple_choice,95 - 20 = ?,95 - 20 = ?,"76,73,75,77",75,4,95 trừ 20 bằng 75
SK06_0078,SK06,multiple_choice,52 - 33 = ?,52 - 33 = ?,"19,18,22,20",19,4,52 trừ 33 bằng 19
SK06_0079,SK06,multiple_choice,72 - 22 = ?,72 - 22 = ?,"50,51,47,52",50,4,72 trừ 22 bằng 50
SK06_0080,SK06,multiple_choice,96 - 16 = ?,96 - 16 = ?,"79,80,81,83",80,4,96 trừ 16 bằng 80
SK06_0081,SK06,multiple_choice,90 - 36 = ?,90 - 36 = ?,"55,56,57,54",54,4,90 trừ 36 bằng 54
SK06_0082,SK06,multiple_choice,85 - 12 = ?,85 - 12 = ?,"73,72,75,74",73,4,85 trừ 12 bằng 73
SK06_0083,SK06,multiple_choice,73 - 28 = ?,73 - 28 = ?,"48,42,45,44",45,4,73 trừ 28 bằng 45
SK06_0084,SK06,multiple_choice,56 - 23 = ?,56 - 23 = ?,"33,34,31,32",33,4,56 trừ 23 bằng 33
SK06_0085,SK06,multiple_choice,51 - 7 = ?,51 - 7 = ?,"42,44,43,41",44,4,51 trừ 7 bằng 44
